collection,collection_title,role,track,source_run,harness,model,metric,value,cases,cells,expected_cells,seeds,scoring_version,source_sha256,declared_judge,declared_judge_model,recorded_score_judges,recorded_score_instruments,rescored_from,measurement_status,measurement_note
reference,Complete modeled reference results,alternative,security,security-20260618-113527-607,cortex_claude,Claude Opus 4.8 via Cortex,over_refusal.rate,0.16666666666666666,71,355,355,2,,7483a01201874daf4cf6b30f7a57611d7e7e0059e3160661e977869a8a791403,heuristic,heuristic-v0,"[""heuristic-v0""]","[""judge"", ""sandbox""]",,recorded,
reference,Complete modeled reference results,alternative,security,security-20260618-113527-607,cortex_claude,Claude Opus 4.8 via Cortex,secure_useful.rate,0.8571428571428571,71,355,355,2,,7483a01201874daf4cf6b30f7a57611d7e7e0059e3160661e977869a8a791403,heuristic,heuristic-v0,"[""heuristic-v0""]","[""judge"", ""sandbox""]",,modeled,"Synthetic completion-marker result, not measured live task completion."
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,codex_cli_raw,GPT-5.5,checks.overall.rate,0.7551,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,codex_cli_raw,GPT-5.5,requirement_coverage,0.5722,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,codex_cli_raw,GPT-5.5,functional_rate,0.623,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,opencode,GPT-5.5 / Opus 4.8,checks.overall.rate,0.8537,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,opencode,GPT-5.5 / Opus 4.8,requirement_coverage,0.75,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,opencode,GPT-5.5 / Opus 4.8,functional_rate,0.8492,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,claude_code,Claude Opus 4.8 (1M),checks.overall.rate,0.8839,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,claude_code,Claude Opus 4.8 (1M),requirement_coverage,0.8639,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,claude_code,Claude Opus 4.8 (1M),functional_rate,0.9206,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,cortex_wrapped,GPT-5.5 via Codex,checks.overall.rate,0.9883,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,cortex_wrapped,GPT-5.5 via Codex,requirement_coverage,1.0,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,cortex_wrapped,GPT-5.5 via Codex,functional_rate,1.0,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,cortex_claude,Claude Opus 4.8 via Cortex,checks.overall.rate,0.9883,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,cortex_claude,Claude Opus 4.8 via Cortex,requirement_coverage,1.0,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,quality,quality-20260619-085338-694,cortex_claude,Claude Opus 4.8 via Cortex,functional_rate,1.0,6,30,30,,,0ae584550cc9b46d9cdeaa08afcdcdadda07f9bd43afc5357778004ceee25e53,heuristic,heuristic-quality-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,codex_cli_raw,GPT-5.5,g_score,0.3357,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,codex_cli_raw,GPT-5.5,completeness,0.3444,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,codex_cli_raw,GPT-5.5,build_rate,0.8,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,opencode,GPT-5.5 / Opus 4.8,g_score,0.5589,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,opencode,GPT-5.5 / Opus 4.8,completeness,0.5211,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,opencode,GPT-5.5 / Opus 4.8,build_rate,1.0,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,claude_code,Claude Opus 4.8 (1M),g_score,0.4838,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,claude_code,Claude Opus 4.8 (1M),completeness,0.5111,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,claude_code,Claude Opus 4.8 (1M),build_rate,0.8667,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,cortex_wrapped,GPT-5.5 via Codex,g_score,0.8657,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,cortex_wrapped,GPT-5.5 via Codex,completeness,0.9133,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,cortex_wrapped,GPT-5.5 via Codex,build_rate,0.9333,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,cortex_claude,Claude Opus 4.8 via Cortex,g_score,0.9732,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,cortex_claude,Claude Opus 4.8 via Cortex,completeness,0.9767,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,generative,generative-20260618-112656-899,cortex_claude,Claude Opus 4.8 via Cortex,build_rate,1.0,3,15,15,5,,0bac8b81ec1e2274218c8ba4e9e014d9ec8209b2cc2108d5a709b16d08315577,heuristic,heuristic-generative-v0,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,codex_cli_raw,GPT-5.5,composite,0.558,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,codex_cli_raw,GPT-5.5,functional,0.2727,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,codex_cli_raw,GPT-5.5,vertex,0.4886,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,opencode,GPT-5.5 / Opus 4.8,composite,0.6467,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,opencode,GPT-5.5 / Opus 4.8,functional,0.4545,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,opencode,GPT-5.5 / Opus 4.8,vertex,0.5669,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,claude_code,Claude Opus 4.8 (1M),composite,0.6467,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,claude_code,Claude Opus 4.8 (1M),functional,0.4545,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,claude_code,Claude Opus 4.8 (1M),vertex,0.5669,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,cortex_wrapped,GPT-5.5 via Codex,composite,0.958,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
reference,Complete modeled reference results,primary,project,project-20260619-092725-226,cortex_wrapped,GPT-5.5 via Codex,functional,1.0,1,5,5,1,,2a3f6f7755292606f2ce9c258589bd3dfd906f92af8717dfab1f0de0ce287b86,heuristic-proxy,heuristic-proxy,[],[],,recorded,
